zip_code,arrest_count,lat,lon,borough,crime_per_10k,murder,rape,robbery,fel_assault,burglary,gr_larceny,gla,total,borough_display
11221,2141,40.69421942726345,-73.92721358074951,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11222,935,40.7277029747525,-73.9478952509919,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11223,2705,40.59459986529937,-73.96976369450067,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11224,4418,40.57598606093259,-73.98485097203124,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11225,2575,40.662768257949125,-73.95565611092191,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11226,4378,40.64650770568084,-73.9616159468426,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11228,405,40.61337775829714,-74.0173413367775,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11229,824,40.59746054336325,-73.93530509912705,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11230,1935,40.62411656905047,-73.97105142581378,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11231,1507,40.67508331710057,-74.01007177526076,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11231,1507,40.66710323530192,-74.01728919701043,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11232,2064,40.65939485349065,-74.00826980768899,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11233,4509,40.67752765417162,-73.92157644939363,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11234,378,40.60458816395699,-73.90383216312753,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11235,301,40.58264526692284,-73.93691221309098,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11236,999,40.640534740896605,-73.89189490475883,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11237,3967,40.70381064213058,-73.91868702036929,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11238,513,40.67563664991787,-73.96701592498695,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11239,681,40.64536907906578,-73.87354299315687,brooklyn,110.8,81.0,549.0,3806.0,8289.0,3069.0,11184.0,3332.0,30310.0,Brooklyn
11354,3112,40.76830704288077,-73.83417675244719,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11355,668,40.75077479826483,-73.82278701565471,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
11356,241,40.78677008688249,-73.84681230502541,queens,104.1,57.0,427.0,2802.0,5637.0,2797.0,9034.0,4297.0,25051.0,Queens
