zip_code,lat,lon,nearest_subway_dist_miles,nearest_subway
11230,40.62411656905047,-73.97105142581378,0.3599559915935999,Avenue I
11204,40.621975382469415,-73.97895564451966,0.2679794949374365,Bay Pkwy
10471,40.89499186537246,-73.9025305197112,0.48090030674633694,Van Cortlandt Park-242 St
10470,40.90321114175869,-73.8577406919367,0.40628490099602727,Nereid Av
10466,40.89522262194308,-73.84271399870894,0.7712966645792677,Wakefield-241 St
10467,40.875157136675476,-73.8750370539714,0.26451870161785873,Norwood-205 St
10463,40.88184194206541,-73.90677159064455,0.24560615204238226,231 St
10475,40.87189803947317,-73.8228029016694,1.1851716459277706,Baychester Av
10464,40.8710435324421,-73.80353265360142,2.1265662609776355,Pelham Bay Park
10469,40.86860840392282,-73.84213684059233,0.29981548555372944,Gun Hill Rd
10468,40.86953470761783,-73.90353475302732,0.45565484293872416,Kingsbridge Rd
10463,40.875495817624184,-73.9104920036685,0.07899851675470786,Marble Hill-225 St
10458,40.863359784730925,-73.88289501572537,0.7421931590483019,Bedford Park Blvd
10034,40.87049187971734,-73.92048855629633,0.17185564025006086,Inwood-207 St
10033,40.85476635300487,-73.93592273279032,0.25465037557929676,181 St
10462,40.84772740212871,-73.8640596251852,0.31277800414490753,Bronx Park East
10040,40.85738458846664,-73.92693231431171,0.22689004104018556,191 St
10453,40.85352248455895,-73.91634387807812,0.4686316287377994,176 St
10465,40.82714348872775,-73.81464540428327,1.8360055295048794,Buhre Av
10464,40.85281142014665,-73.77028294151067,3.990898863583256,Pelham Bay Park
10464,40.84775297643196,-73.78673603370592,2.873989022216022,Pelham Bay Park
10461,40.843828902720645,-73.83916593855952,0.196245863971656,Middletown Rd
10457,40.84320253096571,-73.89925004338563,0.6460685598377817,Tremont Av
10460,40.841920664757,-73.87865885295629,0.14759057589103672,West Farms Sq-E Tremont Av
10032,40.84047898224293,-73.94335023516881,0.22205282645677965,168 St-Washington Hts
10452,40.839481469213254,-73.92498198243078,0.3676439887401251,167 St
10456,40.83223662501418,-73.90722503132916,0.6476682005425349,170 St
10472,40.83008222343516,-73.87212507396991,0.16945786160738624,Morrison Av-Soundview
10031,40.82589725704791,-73.95106326801265,0.06625314265757702,145 St
10039,40.82997659162879,-73.93688268610681,0.09216607053102055,155 St
10459,40.828345726837014,-73.88983030536713,0.18063629545120177,Freeman St
10451,40.8204740173363,-73.92746249802731,0.145036384763656,149 St-Grand Concourse
10473,40.81304860550173,-73.8549062453122,1.4507279933483725,Parkchester
10030,40.81868217564572,-73.94154024368116,0.31183151808362425,135 St
10027,40.814264874786055,-73.95710852213577,0.1258859927421341,125 St
10474,40.80859456686005,-73.88641956809111,0.8637423814480696,Longwood Av
10455,40.81294345236926,-73.9057838226131,0.12951742034970873,E 149 St
10037,40.812709335010446,-73.93482538097805,0.34520175007218196,138 St-Grand Concourse
10024,40.79650510140495,-73.97380825373776,0.20577622266885834,96 St
10454,40.8050555039876,-73.91833741556246,0.18407939045380278,Brook Av
10026,40.80654401082997,-73.95492589244118,0.1007172923848514,116 St
10035,40.802626379793324,-73.93411948136023,0.26144786920116375,125 St
10025,40.80078196046591,-73.96834192622485,0.09221675965733173,103 St
10035,40.791768933893756,-73.92570188243978,1.1776649103373693,Brook Av
11357,40.791677097119944,-73.81266867309894,2.516708984632843,Flushing-Main St
10029,40.78994763987603,-73.94108256485443,0.4126262458870637,110 St
00083,40.780440608965186,-73.96771005638068,0.3134440657212145,81 St-Museum of Natural History
11356,40.78677008688249,-73.84681230502541,2.2035313756023815,Flushing-Main St
11359,40.79201281580672,-73.77766718728294,4.249220778847827,Flushing-Main St
